title,spoiler,text
" Fantastic.
",,"I won't say it's an underrated movie, but it has somewhat been buried by the legacy of other ""popular"" Nolan movies. With this movie, Nolan shows his ability to make a metacinematic film, yet again. This is obviously my most favorite Christopher Nolan movie, along with ""Memento"" (2000). Just like you can relate the theme of memories and interpretations shown in the story of ""Memento"" with the actual experience we had while watching the movie, we can relate the three acts of a magic trick narrated within the story with the movie itself. As the movie says, the final reveal in a magic trick is the most thrilling experience. So is that of this movie. In fact, the whole movie can be weirdly related to a magic trick. It is one of those movies which feel quite ordinary until a major twist makes it great. Speaking of the cinematic experience, it is a typical Nolan styled movie. It has broken timelines to enhance the storytelling, but unlike in most of his movies these are done more artistically than just for the thrilling reveal. This is perhaps the movie where Nolan's broken timelines have enhanced the storytelling in the most brilliant way. Like in most of movies, he dwells in a single theme - here it's obsession. The obsession of Robert Angier is what drives the plot of the movie, and is well established and doesn't even feel forced. There is a protagonist, and an antagonist in this movie. The character development is done so smoothly that we see the protagonist become an antagonist, while the antagonist remains somewhat the same. Though we don't get a full ""interchange"" between the antagonist and the protagonist, as the movie progresses, the protagonist feels more ""wrong"" than the antagonist. That's quite a difficult thing that it pulls off. Alfred Bordon is one of the most ""complex"" characters I have ever seen. He feels like some kind of a prick throughout the movie, and there are a lot of scenes to establish it for the viewers. That's until we get to know his character in the third act. It doesn't make him right for his wrong doings, but he gets the respect for his dedication as a magician. The whole Tesla plotline might feel like a convenient plot device, but Tesla is a scientist who is rumoured to travel through time. So, that is quite justifiable. Hugh Jackman has given a solid performance. This must go down as his best performances with those of ""Prisoners"" (2013) and ""Logan"" (2017). He is completely out of his public persona of Wolverine. He is the best possible choice for Wolverine imo, but reminder of Wolverine every time he appears on screen isn't so adorable. He didn't remind me of Wolverine at all, in this movie. But, the major highlight of the movie would be Christian Bale. He has given a terrific performance. You don't even get a hint at the complexity of the character he is portraying. It's after the reveal and in fact, in the second viewing that you start noticing the actual stuffs and the actual interpretations a particular scene is to be given. All in all, it's a fantastic movie. The way obsession play out to be the main theme, the way broken timelines are used for storytelling and the way the final twist is revealed - simply excellent. It gets a special ""10/10"" and an ""A+""."
" A Stylish, Uniquely Twisted Period Piece
",spoiler,"What ""The Prestige"" does very well is recreate a period of show business history near the turn of the century in which competition between magicians was serious and intense. The workings of the complicated illusions are gorgeously brought to life via smartly detailed apparatus that replicate the actual mechanics of Victorian legerdemain. Much of the film rings very true, such as the all-consuming obsessions of the lead characters to be the best and outdo all others. It's an easy step to accept that such unwavering determination spills over into deadly territory, as rival magicians suave Rupert Angier (a riveting performance by Hugh Jackman) and audacious Alfred Borden (Christian Bale effortlessly playing a brooding lower-class Brit) each seek to wreak continuing revenge upon the other.The story, though adapted from a novel, feels like a perfect fit for director Nolan's sensibilities, as the machinations of the two men become increasingly convoluted during a back-and-forth tug of wits that keeps you guessing in the style of Nolan's ""Memento."" As the game grows increasingly deadly, and threatens to consume all they love, the film becomes a fascinating study in single-mindedness.The work is epic in sweep, beautifully filmed, and strongly acted. The only odd note in casting is David Bowie as Nikola Tesla (he looks nothing like the actual Tesla, if you care about these sort of things, and his appearance calls attention to itself as superstar casting often does), but Mr. Bowie holds his own. Solid performances are all around, with Michael Caine adding dignity and depth as the old master, Scarlett Johanssen as the as the lovely stage assistant who becomes the third point in a twisted love triangle, and even Andy Serkis (Gollum!) in a memorable supporting role.The introduction of Tesla adds yet another twist, as the film shifts from real-but-possible stage illusion to steam-punkish sci-fi. This transition is a hard note to pull off, since the beginning of the film doesn't quite suggest such a direction, but if you're willing to let Nolan lead you on the journey into increasingly fantastic realms, the narrative rewards you with thought-provoking moral and dramatic exploration of the issues raised.A truly entertaining movie, and an original, unusual, dark ride -- well worth seeing in a theater for its grand scope and vision."
" Are you watching closely?
",spoiler,"The Prestige, adapted from an award winning novel of the same name by Christopher Priest, is an intricate tale of passion, intrigue, deceit and obsession about two illusionists, whose morbid covetousness for absolute supremacy in their profession engenders a fierce rivalry that turns internecine and ultimately consumes them. Alfred Borden (Christian Bale) and Robert Angier (Hugh Jackman) at the start of their careers are highly ambitious young men assisting an elderly illusionist named Milton. Borden's incessant longing for innovation leads to the accidental death of Angier's wife. Borden marries Sarah and his apparent happiness further aggravates the sense of revulsion in Angier's heart. Angier's vindictive intervention during a bullet catch trick causes Borden to lose his two fingers. Though these events sowed the seeds of implacable hatred, but it is the unremitting yearning of their perpetually insatiable egos to outperform each other that eventually drives them to perdition.Angier starts performing with the sobriquet ""The Great Danton"" with Cutter (Michael Caine) as his illusion engineer, while Borden with the stage name ""The Professor"" with Fellon as his engineer. Angier is an adept showman, but lacks the technical prowess. On the contrary, Borden is highly skillful, but lacks the taste for grandeur and showmanship. Each regards the other as his only obstacle (owing to their bitterly intertwined past) and this starts a series of events in which each tries to stymie the other by any means possible (sabotage, abduction, incrimination and even killings). Awed by the apparent genuineness of Borden's version of ""The Transported Man"" and inveigled by Borden's deliberate misdirection, Angier travels miles and spends a fortune to approach an ingenious scientist named Nikola Tesla (David Bowie) in order to cajole him into building a machine for him (a machine that could help him outperform Borden). Nikola Tesla is an apostle of Alternating Current (and rightly thinks it to be superior to Direct Current), and is under immense pressure imparted by Thomas Edison (ruthless advocator of Direct Current) and his men, who are after Tesla. As Edison's men close in on him, Tesla runs out of time and hence funds for his research and is forced to oblige Angier, who is his very last client. Tesla flees the scene shortly after fulfilling his promise to Angier (not without leaving him a strong note of caution against the use of his invention), whose ever increasing skepticism in Tesla is placated by the efficacy of his masterful invention. Using Tesla's machine, Angier introduces his own version of ""The Transported Man"", which becomes an instant success, but in lieu of a terrible self-sacrifice (that Angier has to make every night while performing). As the story culminates, the viewer is startled with many revelations including the mental and physical torments that Borden's complex character undergoes owing to his total devotion towards his art.The success of an act of illusion solely depends upon the deftness with which its three parts viz. the Pledge, the Turn, and the Prestige are performed. Similarly, for a movie to be a success, its three main aspects i.e. screenplay, direction, and acting are ought to be top-notch. Christopher Nolan incredibly manages to strike all the right cords with The Prestige. His riveting maneuvers coupled with his ingenious auteur skills aggrandize the brilliance of the movie ten-fold. Nolan succeeds in having a dream assemblage of actors with almost everyone giving a memorable performance. Christian Bale and Hugh Jackman are superb in their lead roles. Michael Caine shines in his low-key portrayal of Cutter, an ordinary part made to appear extraordinary through sheer brilliance; vintage Caine. David Bowie as Nikola Tesla and Andy Serkis (Gollum of LOTR) as Alley (Tesla's assistant) are stupendous in their cameos. Scarlet Johansson also manages to give a scintillating portrayal as Borden's paramour, Olivia.The movie is a roller-coaster of a ride with intriguingly intertwined subplots and masterful time switching, which makes it one of a kind and an ultimate masterpiece. The uncanny feat of Nolan to manifest a motion picture, which forays the realms of Mystery, Thrill, Sci-fi and Fantasy, is truly exemplary and makes the movie a contemporary classic. The movie is a tapestry of twists and turns, which evinces its overwhelming potential to bewitch the masses and satiate even the most esoteric viewers. The questions that it incessantly asks of the viewers can only be answered after repetitive viewings, with each viewing seeking utmost attention of the viewer. The only question that I would ask of the viewer is: ""Are you watching closely?"" A must watch for anyone, who has nothing against giving his mind a rigorous exercise and his body an adrenaline rush. 10/10"
" Storytelling at its best!
",,"The Prestige is a masterful exercise in storytelling with superb direction and powerful performances by a grand ensemble cast. From set and production design to cinematography, from script to presentation, Christopher Nolan has once again demonstrated why he is one of the film world's brightest up and coming directors. The Prestige only helps solidify his standing as one of the landmark directors of his generation.Told in a narrative that jumps between various points along its time line, playing out like a magic act itself, the story is that of two magicians on the rise in their careers. The first -- played by Christian Bale -- is an expert in understanding the fundamentals of any trick, but lacks showmanship. The second -- played by Hugh Jackman -- is a master showman who is more entertaining than technical. A tragic series of events pits the two performers against each other in a battle of wits that spirals further and further out of control, consuming both of them and everything and everyone they care about.With a story that requires actors with a great deal of emotive range, Nolan has assembled what could be described as a dream cast. Both Bale and Jackman suit their respective roles perfectly, and pitting these two performers against each other was a stroke of casting genius. Michael Caine takes what could have been a forgettable role by any lesser actor and elevates it with his demanding screen presence. Probably the most surprising performance comes from David Bowie whose unforgettable turn as master physicist Nikola Tesla absolutely shines. Add Andy Serkis to the mix, and what is assembled is a group of performers who know how to fully engage the audience.The Prestige is hard to pigeonhole into any specific genre as it walks the fine line between mystery, drama, suspense and fantasy. In that, the story becomes a never-ending stream of wonder for the mind: one can never tell exactly where the story is going to lead next, becoming more and more as time goes on. This gives Christopher Nolan ample opportunity to play. And play he does. With narration by several characters, each adding their own viewpoint to the events, and with a direction that moves between time to mystify and distract, the end result is a climax that itself is a series of puzzles that each unravel beautifully.The only major criticisms that can be leveled at the Prestige are a confusing play with the seasons during Tesla's introduction (winter suddenly becomes spring/summer and back again) and a strange choice of music for the closing credits (a pop song at the end of a film such as this seems tacky). However, neither is significant enough of a problem to warrant any need to avoid the film at all.In the end, the Prestige is a fantastic display of what can be accomplished when you bring together superior talent. It is certainly worth the price of admission and as good as any magic show you are to come across."
" This movie fills the screen and your mind.
",spoiler,"I couldn't help myself. I just kept saying ""wow, what a beautifully crafted film,"" all the way home, and around my house when I arrived home. I have not been so captured and entertained in a long time. I was especially enamored with the screen writing and how tightly and beautifully the visual metaphors tied in with the writing, and with the impact of the human message about obsession, competition and retribution carried to the extreme. One can relate to this personal human struggle for victory over another at all costs on a much grander scale, as the two magicians could easily be symbolic of how leaders of countries come to blows with each other, at the expense of their women and children -- something we struggle with right now in our world. There are deeper layers of this film that will be uncovered over time.Hugh Jackman, Christian Bale and Sir Michael Caine all contributed stunning, emotional performances. Rebecca Hall, who played Sarah to Bale's Alfred Borden, turned in a highly charged performance as well, making Scarlett Johansson's Olivia flat in comparison. And although some people thought the plot line a bit tedious, I found it to be refreshingly complex and engaging, while not being so complex as to lose you. If you can't follow this one, you've been watching television too long. And who cares if the illusions are mundane or scientifically unbelievable? Isn't that what both movies and illusions ask us to do? To suspend disbelief? Meantime, there's a message in its madness. Hello.The film is visually moody and evocative, easily transporting you into the time period. What more could you ask for? A film is a visual medium and this one is a visual ten. The acting is superb as well as the plot. It keeps you interested; it keeps you guessing right to the shocking but most appropriate end.It asks you, what is one willing to sacrifice for the ""prestige?""I think this one's an Oscar definite."
" A Nutshell Review: The Prestige
",,"I've said it before, but I'll say it again. Christopher Nolan can do no  wrong.  Teaming up again with his Batman Begins cast of Christian Bale and  Michael Caine, and joined with the Scoop team consisting of X-Men's  Wolverinie Hugh Jackman and Scarlett Johansson, the stellar (eye candy)  cast already set tongues wagging as to whether they'll be able to live  up to the hype of Nolan's long awaited movie directly challenging the  other picture about Victorian magicians, The Illusionist.  The Prestige is the third act of any magic trick, with the first and  second acts being the Pledge and the Turn. And this movie lives up to  its namesake to a T. The way the movie plays out, it's like a huge  magic trick, with the audience waiting to see how it unfolds, getting  the suspicion on how it's done, but yet sitting through it thorough  engaged to discover how everything will be revealed and resolved. It  tells the story of how two magicians, fellow apprentices turned  unfortunate rivals, plod down the slow path of jealous obsession,  revenge, and the deliberate attempts to go at lengths to steal each  other's ideas, to go one up against the other, a fight in romance, life  and the long held passionate drive to discredit each other. There are  perfect explanations of the value of secrets, and how secrets can  sometimes be used as tools for deceit.  What I thought was valuable in the movie was the reinforcement of the  notion of how ""magic"" actually worked. Besides the better understanding  of the common body of scientific knowledge, things like having pretty  assistants to distract, and having planted staff amongst the audience,  somehow made me a sceptic to tricks and illusions, and try harder to  spot at which stage had things undergone a sleight of hand. More  importantly, it introduced me to the notion and importance of a loyal  engineer behind the scenes who designs elaborate contraptions solely  for the magician's use, and how having disloyal staff can indeed be  detrimental to any leaks of secrets.  And Michael Caine took on this engineering role as Cutter, responsible  for assisting Rupert Angier (Hugh Jackman) with loyalty and conviction  that they could, as a team, beat Christian Bale's Alfred Borden. I  thought the cast in general were superb, with Christian Bale leading  the charge. Hugh Jackman too showed that he could play a dark  character, as the two leads tackled their characters' theme of  sacrifice, arrogance, and ultimately redemption, especially for Rupert  Angier. I thought he did what he did towards the end was a kind of  penance to what happened in the beginning, hoping to kill two birds  with a single stone, to exact the sweetest revenge he could possibly  muster. What also was intriguing about the two lead characters was that  there is no right or wrong, no hero or villain. It's always a shade of  grey in what they do, and for Alfred Borden, I felt it's more for  survival and the provision for family, which is a strong subplot  running through the film. I just have to mention though, that Scarlett  Johansson being Esquire's Sexiest Woman Alive, gets to play a flower  vase role here as a magician's assistant, though her role as the pawn  between the rivals added a little gravitas.  The atmosphere was set up great, and so were the costumes and sets. The  soundtrack was hauntingly mesmerizing, capturing the look and mood  appropriately. Look out too for David Bowie's appearance as a Serbian  scientist!   I was floored by the deftness of how Nolan weaved and juxtaposed the  non linear narrative so flawlessly. While the usual techniques is to  use placeholders, or flashback sequences, colours etc, here, time is so  fluid, but yet the audience will know precisely which era they're in,  without being explicitly told, or working too much of the noodle. You  just know, and it's just that feeling of being totally transparent with  time. Even though the movie clocked in at slightly more than 2 hours,  you don't feel its length at all.  At the end of the movie, one quote popped into mind: Misdirection -  what the eyes see and the ears hear, the mind believes. Quite apt to  describe how things work out during the movie, or to describe in  general, Nolan 's films so far. That added richness to lift the movie  to a superior plane. Do yourself a favour, if there's one movie you  absolutely must watch this week, then Prestige must be your natural  choice. It's smart in delivery and slick in presentation. There is none  other.  P.S. Is it just me, or are notebooks a common feature in Nolan's  movies?"
" Outstanding acting performances worth price of admission
",,"I went to see a critics preview of The Prestige this afternoon and to  my surprise I found the film to be one of the best I have seen all year  so far, and that writers can come up with an excellent script it they  would only try a little harder. The acting performances by Hugh  Jackman, Christian Bale and Michael Caine were the best I have see in  a long while. The only objection I had to the film was that it was a  little long, but once you leave the theater you will discuss the film  and it many twists and turns. My wife and myself discussed it all the  way home from the movie theater. This is a winner and should be up for  some academy award statues, and my recommendation is go see this as  soon as you can, you will not be disappointed."
" Prestigious
",,"The Prestige. I am impressed. I am a HUGE fan of Hugh Jackman and bought the book as soon as I heard he would be in this movie. I read it and enjoyed it, but wasn't especially fond of it. But I still had been really looking forward to this movie.I went to the first showing opening day (Friday, Oct. 20th) with 2 friends and sat a row behind them, alone, to enjoy it peacefully. I loved it all.Christopher Nolan really has a gift at directing. The way the movie cuts back and forth between different places and times is clever. Although some might be confused or left stupefied, others will be happy and glorified. The movie will keep you guessing the whole time until the very end. The script, acting, settings, props, everything was so well-done.Hugh Jackman was excellent as the angry, obsessive magician trying to gain back his life by revenge. Christian Bale was equally impressive as the mystifying, secretive showman, never letting out his secrets until necessary. Michael Caine rocked in supporting everyone else's parts with his curiosity. The rest of the cast rounded out nicely and helped out where need be. I really recommend this movie to a sophisticated audience who doesn't mind a long, mysterious movie.And man, what an ending."
" Amazing! twist after twist!
",,"I have to say this is one of the best movies i have seen this year, i was not expecting it to be that good. There's twist after twist, and when you think there is no more, there will be. Great performances and ever better plot. I highly recommend this movie to all ages.New idea for a movie, and they succeeded it at it greatly. It will have you thinking every time you see a magician on TV!i had to give this movie a 10/10, and i only have 4 movies that i would rate that way in my life time. If there is anything you do this year, make it a trip to watch this movie!I hope you enjoy it as much as i did."
